"st_fips","state","estimate","moe","year","sex","age"
1,"Alabama",158291,2837,2010,"M","00-04"
1,"Alabama",154398,5979,2010,"M","05-09"
1,"Alabama",164893,5404,2010,"M","10-14"
1,"Alabama",104590,2593,2010,"M","15-17"
1,"Alabama",75593,2769,2010,"M","18-19"
1,"Alabama",35161,3276,2010,"M","20"
1,"Alabama",38638,3412,2010,"M","21"
1,"Alabama",94380,4505,2010,"M","22-24"
1,"Alabama",149164,2920,2010,"M","25-29"
1,"Alabama",144462,2563,2010,"M","30-34"
1,"Alabama",149505,5423,2010,"M","35-39"
1,"Alabama",156051,4999,2010,"M","40-44"
1,"Alabama",170347,2670,2010,"M","45-49"
1,"Alabama",166037,2377,2010,"M","50-54"
1,"Alabama",148405,4382,2010,"M","55-59"
1,"Alabama",58228,3223,2010,"M","60-61"
1,"Alabama",75227,3747,2010,"M","62-64"
1,"Alabama",42556,2690,2010,"M","65-66"
1,"Alabama",55840,3282,2010,"M","67-69"
1,"Alabama",71371,3384,2010,"M","70-74"
1,"Alabama",51390,2429,2010,"M","75-79"
1,"Alabama",34816,2447,2010,"M","80-84"
1,"Alabama",22900,1848,2010,"M","85+"
1,"Alabama",149778,2783,2010,"F","00-04"
1,"Alabama",155260,4565,2010,"F","05-09"
1,"Alabama",153567,5105,2010,"F","10-14"
1,"Alabama",94651,2089,2010,"F","15-17"
1,"Alabama",73243,3004,2010,"F","18-19"
1,"Alabama",38548,3161,2010,"F","20"
1,"Alabama",40919,3622,2010,"F","21"
1,"Alabama",91867,4427,2010,"F","22-24"
1,"Alabama",157069,2981,2010,"F","25-29"
1,"Alabama",150958,2625,2010,"F","30-34"
1,"Alabama",153980,5090,2010,"F","35-39"
1,"Alabama",161558,5397,2010,"F","40-44"
1,"Alabama",175163,2408,2010,"F","45-49"
1,"Alabama",177480,2306,2010,"F","50-54"
1,"Alabama",164911,4350,2010,"F","55-59"
1,"Alabama",61408,3064,2010,"F","60-61"
1,"Alabama",83594,4030,2010,"F","62-64"
1,"Alabama",44820,2588,2010,"F","65-66"
1,"Alabama",64199,2855,2010,"F","67-69"
1,"Alabama",90841,2638,2010,"F","70-74"
1,"Alabama",73128,3075,2010,"F","75-79"
1,"Alabama",53569,2254,2010,"F","80-84"
1,"Alabama",52544,2963,2010,"F","85+"
1,"Alabama",4785298,NA,2010,NA,"total"
1,"Alabama",152700,2698,2011,"M","00-04"
1,"Alabama",154593,4937,2011,"M","05-09"
1,"Alabama",162656,4617,2011,"M","10-14"
1,"Alabama",100841,1890,2011,"M","15-17"
